CloseTime,OpenPrice,HighPrice,LowPrice,ClosePrice,Volume,QuoteVolume
1674769500,3002059,3005999,2999462,3002677,11.10499779,33348287.07075656
1674770400,3002677,3005400,3002677,3005233,1.2006,3607687.205
1674771300,3005233,3014000,3003500,3005769,14.54288732,43727767.1607688
1674772200,3006506,3007610,3000472,3002485,5.74802187,17263472.30535431
1674773100,3000720,3002001,2998195,2998195,1.60623284,4818659.18507352
1674774000,2998000,2999465,2992838,2993224,2.19525259,6578556.56928037
1674774900,2993224,2996400,2990000,2990504,10.84819536,32469096.63579537
1674775800,2990504,2994905,2989990,2991000,8.00312464,23947990.80275649
1674776700,2990590,2990590,2982680,2988469,11.6549528,34817872.47286499
1674777600,2988609,2990596,2985742,2988503,8.82187994,26361647.3350218
1674778500,2989859,2996443,2989275,2994593,12.70534932,38032207.34928397
1674779400,2994593,2995913,2980527,2983799,20.71366879,61849817.2659376
1674780300,2984401,2986686,2981685,2983260,4.49730184,13421531.13037717
1674781200,2983263,2985743,2969854,2974361,32.80923585,97647729.2312509
1674782100,2974465,2981775,2973286,2981083,12.51391617,37281706.24622074
1674783000,2981548,2983318,2973013,2974557,19.10839896,56854098.2549616
1674783900,2974558,2977074,2927777,2945917,130.19797799,384005273.7050784
1674784800,2944550,2949476,2935000,2940483,38.60820325,113572726.81035762
1674785700,2940000,2952884,2937285,2951000,16.16402713,47615037.95932657
1674786600,2951560,2957675,2949000,2956159,9.87864361,29190894.25226985
1674787500,2956341,2962015,2954416,2962015,10.52359333,31141442.95887503
1674788400,2962015,2963046,2957284,2960000,6.20574363,18371402.2171464
1674789300,2960607,2965255,2960607,2962500,6.0825537,18024762.51267539
1674790200,2962500,2966225,2961561,2966225,6.53048614,19362012.8742093
1674791100,2966225,2969425,2965302,2965302,4.6783306,13881521.45458201
1674792000,2965302,2967954,2961054,2961481,12.72010146,37717694.91048779
1674792900,2962577,2968362,2961481,2967855,9.01014245,26724394.72429718
1674793800,2967855,2977777,2967713,2976001,8.25230166,24536713.95836427
1674794700,2976001,2976001,2972164,2973614,4.93786659,14687545.08373418
1674795600,2973614,2973739,2971144,2971719,5.78586346,17194956.57467899
1674796500,2970723,2973910,2969506,2970951,4.90616914,14578720.12305329
1674797400,2971226,2973880,2969506,2973539,4.41049621,13105525.52958484
1674798300,2973539,2985000,2972882,2983509,22.5199477,67126955.87428033
1674799200,2984586,3002000,2981600,2995000,53.16384472,159236276.4009229
1674800100,2996333,2997955,2988403,2989764,13.76139129,41173253.71892985
1674801000,2989764,2996402,2988000,2996402,9.52220897,28494654.27282725
1674801900,2996402,2997786,2994532,2996990,10.47834296,31394581.90191985
1674802800,2996990,2999070,2995149,2997888,19.44299805,58282501.37477272
1674803700,2998771,2998960,2991065,2993374,9.24788034,27701840.9143317
1674804600,2992100,2993530,2987820,2993097,8.39716699,25115196.77935713
1674805500,2993100,2999000,2989760,2997834,22.92494477,68640534.46437456
1674806400,2997909,3002500,2995606,3000595,22.43032674,67291605.57465518
1674807300,3000595,3002400,2990559,2990559,10.84226551,32481388.94619154
1674808200,2990559,2991671,2980045,2991173,29.97355881,89535544.70091441
1674809100,2991173,2994373,2987608,2992016,5.25796282,15729857.719634
1674810000,2992280,2992280,2985141,2987000,5.7030588,17040432.80913584
1674810900,2987000,2987000,2983413,2986524,6.80280269,20306737.93147568
1674811800,2986524,2986524,2976223,2980862,16.55191223,49325724.44917218
1674812700,2981000,2986603,2979246,2985987,4.61953215,13776072.78291531
1674813600,2985984,2987220,2982808,2984374,11.21502225,33483902.44739804
1674814500,2984374,2985728,2982813,2983500,1.99568735,5955004.46454641
1674815400,2982813,2985759,2980232,2984118,7.50622851,22392976.52455764
1674816300,2984888,2986164,2982839,2982839,2.39438649,7147614.68813789
1674817200,2982946,2983375,2978506,2983375,5.3923102,16074886.81745831
1674818100,2983375,2984408,2980000,2980000,4.55405271,13581066.79945123
1674819000,2980000,2988989,2978627,2987358,16.13260781,48172363.20583954
1674819900,2987579,2990405,2985432,2987625,15.23527887,45526197.91821148
1674820800,2988000,2990037,2986494,2988285,2.6960024,8056686.79001553
1674821700,2989032,2992000,2988285,2990029,5.56545843,16646960.48881126
1674822600,2989729,2989729,2985000,2986071,4.23174809,12644159.87515228
1674823500,2985410,2987191,2982414,2983300,4.72178562,14095820.26379759
