CloseTime,OpenPrice,HighPrice,LowPrice,ClosePrice,Volume,QuoteVolume
1678893300,3290039,3304975,3290039,3304134,5.71244188,18851322.48111294
1678893600,3304132,3311062,3302000,3308650,11.58556245,38308800.71416662
1678893900,3308932,3310000,3283810,3287454,12.59662038,41521366.91234123
1678894200,3287251,3291387,3277788,3284899,15.04358252,49405337.50021593
1678894500,3285346,3295000,3275333,3279329,11.14391032,36616736.42288665
1678894800,3277544,3278909,3266054,3266054,14.13239893,46252383.54727612
1678895100,3266589,3283835,3266050,3277292,14.86457705,48716698.79063886
1678895400,3278782,3294992,3278782,3290353,11.10036525,36501819.20716379
1678895700,3290015,3292195,3264960,3265324,7.4882607,24573458.59853705
1678896000,3266433,3268485,3254237,3265026,24.32988434,79327909.880186
1678896300,3264373,3267597,3250506,3251761,18.25803014,59426504.28998215
1678896600,3250506,3258553,3240000,3246921,47.6165471,154726367.45712736
1678896900,3245828,3245828,3215443,3229220,42.27239488,136362868.6059438
1678897200,3228513,3243000,3221671,3229275,33.57912354,108613343.46957508
1678897500,3228904,3242635,3226991,3229924,7.02318533,22711990.54576917
1678897800,3229084,3233496,3220230,3231675,6.74124021,21760715.60992634
1678898100,3230937,3252322,3229865,3249613,16.05080214,52030274.9477243
1678898400,3249644,3250876,3228695,3228695,8.85303363,28669234.61844579
1678898700,3228263,3228263,3208553,3217446,18.4094487,59187494.03953746
1678899000,3217566,3231272,3213593,3231272,13.82962575,44532270.85377698
1678899300,3231272,3233709,3217868,3218669,6.23632322,20100508.89704182
1678899600,3219350,3219350,3201596,3209122,16.29483922,52333033.61415995
1678899900,3209572,3216958,3180383,3190065,49.73576673,158922590.38221508
1678900200,3190065,3219867,3190065,3211184,32.34848047,103737844.9856322
1678900500,3211713,3239626,3211713,3239625,14.27812637,46054888.08069906
1678900800,3239626,3242913,3228830,3236554,7.17811896,23223787.37165723
1678901100,3236492,3244506,3231455,3238023,8.42465937,27275069.71343332
1678901400,3237459,3245000,3234982,3244540,4.47145717,14490158.90857942
1678901700,3244543,3245128,3233560,3238600,13.5546745,43880071.02172939
1678902000,3239134,3246908,3236559,3236812,4.16498206,13508734.6203606
1678902300,3236733,3237813,3221876,3224252,13.50334106,43603162.77012584
1678902600,3224918,3229117,3216983,3224016,6.58426583,21216419.74512021
1678902900,3225125,3237301,3225125,3236693,6.11407003,19760125.58560603
1678903200,3237322,3244169,3234039,3238498,8.07169389,26154559.24774098
1678903500,3238498,3238498,3228701,3233901,6.02814819,19486582.00051474
1678903800,3232905,3234943,3222971,3224032,4.46147195,14406666.46754735
1678904100,3224035,3227423,3221154,3222000,5.43266312,17513962.97616076
1678904400,3222003,3233718,3221492,3231014,5.53984917,17882791.04245809
1678904700,3230414,3244168,3227598,3240647,6.64340237,21497669.16221366
1678905000,3241346,3272254,3240147,3267157,22.54919769,73363791.90212011
1678905300,3267158,3280000,3255804,3264202,15.26542001,49873812.5796698
1678905600,3266161,3270000,3257200,3263712,3.75623599,12262050.05681894
1678905900,3261509,3277632,3260233,3274910,7.26426827,23763884.77435399
1678906200,3274927,3277676,3266700,3266700,5.15084279,16851138.71640358
1678906500,3266700,3268147,3250345,3261090,24.57289514,80050926.94600953
1678906800,3261092,3269942,3259636,3265859,7.42057384,24224841.14592859
1678907700,3254145,3258999,3245879,3251064,17.9681074,58427326.32622639
1678908000,3252334,3256260,3246202,3251283,2.61936398,8515236.00282483
1678908300,3252764,3265000,3249970,3263705,4.27183662,13922214.16189139
1678908600,3263649,3269384,3260379,3269384,3.42621704,11181082.17783214
1678908900,3268377,3269064,3262168,3263786,1.4744,4815063.3694
1678909200,3262542,3263265,3249568,3255072,4.86219295,15829414.9096344
1678909500,3255068,3255068,3236451,3239858,6.52629774,21155062.09459242
1678909800,3239139,3245841,3231868,3237613,16.7938348,54380165.49359422
1678910100,3235601,3236777,3225997,3232717,4.39902922,14209703.19913533
1678910400,3233108,3254775,3231300,3254591,4.48241348,14525903.45843453
1678910700,3254775,3254775,3239641,3244695,7.171969,23274508.22940526
1678911000,3243470,3245181,3239989,3239989,14.55708009,47194489.22747932
1678911300,3240313,3245605,3239322,3241147,8.48181635,27499723.68851838
1678911600,3241150,3247867,3241150,3246254,10.52922856,34177161.81820584
1678911900,3246787,3250085,3245129,3246664,8.72774102,28351702.03838951
1678912200,3246992,3251451,3245129,3250974,14.74084381,47864547.76186303
1678912500,3251913,3253208,3246548,3252222,13.3559899,43410836.489968
1678912800,3252194,3262089,3249878,3262086,20.29754304,66060748.75273453
1678913100,3261091,3268245,3260000,3265650,22.2574182,72612773.87258025
1678913400,3263537,3265650,3260388,3263396,4.49835898,14675864.25834732
1678913700,3262769,3262769,3259504,3259727,5.94510587,19383454.27863517
1678914000,3259727,3259996,3252373,3255824,10.8257991,35245555.82025521
1678914300,3255824,3257599,3253146,3255645,5.50568,17917112.70376
1678914600,3255084,3262179,3255084,3260003,11.74184,38277274.08896
1678914900,3260140,3261199,3257786,3259143,5.6664,18465199.07591532
1678915200,3259853,3264312,3259048,3262495,7.77238853,25361567.81451881
1678915500,3263239,3263565,3259015,3260752,9.26487005,30209742.25422837
1678915800,3260752,3263069,3254415,3254415,14.591348,47558314.20235667
1678916100,3255304,3262963,3255304,3262399,7.68200694,25038768.9766727
1678916400,3262963,3264594,3262250,3264248,7.7884347,25421554.35857358
1678916700,3264254,3270000,3264031,3270000,13.11856518,42850782.65666181
1678917000,3270095,3270688,3264393,3264901,9.09329163,29714452.43507696
1678917300,3265050,3271555,3264819,3267589,2.24352596,7332833.37156092
1678917600,3267416,3271042,3267051,3270375,1.2402,4053498.7544
1678917900,3268920,3290341,3267743,3285330,11.3362624,37164807.64741138
1678918200,3284131,3287784,3278200,3283054,11.57506792,37991091.52258776
1678918500,3283381,3294821,3283054,3289974,7.79231638,25646436.1231331
1678918800,3289971,3291384,3282508,3285708,5.56394477,18294475.1181899
1678919100,3285705,3288776,3282185,3285526,8.22203876,27020537.86707872
1678919400,3285222,3285222,3272043,3274512,7.50749181,24607463.31504368
1678919700,3273518,3277205,3267672,3267684,9.68662851,31701064.36934802
1678920000,3267687,3268711,3250597,3258116,21.17258475,68977568.82101168
1678920300,3257781,3267976,3256617,3267953,7.16207528,23383147.39126073
1678920600,3267616,3267976,3260470,3265763,3.04934993,9955446.00176351
1678920900,3267145,3269237,3265599,3268410,4.71694798,15413782.79773531
1678921200,3268410,3268410,3262997,3263711,11.095313,36233084.404671
1678921500,3262364,3269776,3261039,3268886,12.92937946,42206920.72564336
1678921800,3268945,3268962,3260569,3262513,5.43972636,17755838.85078745
1678922100,3262537,3262537,3251000,3254228,25.81608528,84062665.24345931
1678922400,3254805,3256595,3250000,3254183,6.593284,21443252.78938177
1678922700,3254183,3258777,3254180,3256007,6.52325866,21247418.31915111
1678923000,3254960,3257000,3250489,3254083,7.86952697,25604058.54965012
1678923300,3254377,3260564,3252770,3258903,7.22153838,23527639.16704654
1678923600,3259100,3259111,3250833,3250840,12.7597187,41526398.68188112
1678923900,3251389,3251389,3245000,3247459,20.05453426,65142824.95755674
1678924200,3247463,3247463,3241752,3246174,11.63067581,37741335.88412833
1678924500,3246038,3246038,3232375,3237781,12.82829625,41567345.07603923
1678924800,3236471,3240218,3234000,3238181,13.26020819,42951699.07640069
1678925100,3239027,3242476,3234885,3241897,15.84710184,51323450.29763101
1678925400,3240683,3242473,3235335,3235335,18.7170299,60608153.9559936
1678925700,3235471,3236132,3224158,3236013,41.88924533,135359001.3999918
1678926000,3236014,3239000,3233023,3238215,4.50949282,14596073.08568576
1678926300,3237507,3246145,3236076,3244057,13.95374136,45236972.9840897
1678926600,3242514,3242628,3236479,3237787,13.08413201,42394353.90587846
1678926900,3237476,3239323,3220151,3223694,6.09122502,19679191.72679373
1678927200,3223636,3226862,3220160,3225331,7.23087558,23312543.19461471
1678927500,3226398,3228439,3218925,3221263,9.46995204,30521352.69064442
1678927800,3220814,3235000,3216987,3235000,10.90381313,35162101.22529701
1678928100,3235085,3241457,3234235,3240497,7.38524083,23918286.76481329
1678928400,3240497,3242830,3231983,3240948,6.76839158,21919663.92608048
1678928700,3240952,3248888,3240373,3244959,17.47531674,56684827.6437779
1678929000,3244063,3250008,3242608,3246320,3.92677738,12754618.14110027
1678929300,3246321,3248293,3243842,3243848,5.26181218,17077512.86304209
1678929600,3243589,3243589,3227729,3227729,18.82045558,60926662.62915479
1678929900,3228697,3243942,3227730,3239162,11.90121138,38517470.21400054
1678930200,3240823,3244918,3240434,3243808,2.19531903,7117499.3808612
1678930500,3243808,3252017,3243808,3252017,4.6073069,14962069.7240043
1678930800,3251250,3251251,3247366,3250000,5.49533193,17859574.27920515
1678931100,3251269,3251270,3246012,3248235,4.60118329,14951738.30191145
1678931400,3246868,3249622,3243283,3246842,8.40347747,27268699.97511771
1678931700,3246848,3252232,3246830,3252232,6.044,19646657.377
1678932000,3252573,3252573,3248063,3249156,2.122319,6898864.690617
1678932300,3249175,3252573,3249072,3249072,1.26343476,4108411.61494915
1678932600,3249918,3256394,3249918,3254118,5.49068434,17867501.05131834
1678932900,3254117,3254117,3246535,3251029,5.7549593,18698894.15511815
1678933200,3250947,3254527,3250682,3253300,2.3672166,7700206.47739181
1678933500,3253165,3256394,3250033,3256394,7.14603978,23254815.31329319
1678933800,3256394,3263233,3256394,3259998,13.25273897,43202489.66822285
1678934100,3258462,3259999,3253610,3255000,6.74529806,21969851.01533095
1678934400,3254184,3256149,3253407,3256149,0.59959313,1951392.09724363
1678934700,3255687,3258451,3254926,3254927,2.20399611,7176402.80160483
1678935000,3255640,3258999,3254985,3256325,3.61824471,11780162.64660023
1678935300,3255585,3257048,3253940,3256030,0.38631631,1257663.62399825
1678935600,3254741,3254762,3249903,3250523,3.07706958,10008409.4061805
1678935900,3250523,3251628,3246862,3247952,2.23405984,7260388.09498142
1678936200,3246862,3247539,3242250,3247536,13.25711812,43028810.25253325
1678936500,3247225,3247915,3235788,3235788,13.82526305,44815109.40793724
1678936800,3236512,3241914,3236512,3241491,3.85163305,12476000.88783211
1678937100,3241882,3246715,3241882,3245365,2.55859878,8300574.77152689
1678937400,3245088,3245088,3238826,3240459,3.34980975,10857930.20324155
1678937700,3241134,3241315,3240495,3240498,0.4473125,1449790.589375
1678938000,3240498,3240498,3233133,3236515,5.2446861,16976676.3031263
1678938300,3235515,3237965,3233633,3235697,3.5841,11597281.18218971
